sequence	BIDS_type	BIDS_sequence	relevant
t1_mprage_sag_ipat2_1p0iso	anat	T1w	1
AAHead_Scout_32ch-head	anat	smart	0
cmrr_2p4iso_mb8_TR0700	func	task-reward_acq-mp8_echo-1_bold	1
cmrr_2p4iso_mb8_TR0700_SBRef	func	task-reward_acq-mp8_echo-1_sbref	1
cmrr_2p5iso_mb3me3_TR1500_e1	func	task-stop_acq-mp3m3_run-1_bold	1
cmrr_2p5iso_mb3me3_TR1500_e2	func	task-stop_acq-mp3m3_run-2_bold	1
cmrr_2p5iso_mb3me3_TR1500_e3	func	task-stop_acq-mp3m3_run-3_bold	1
cmrr_2p5iso_mb3me3_TR1500_SBRef_e1	func	task-stop_acq-mp3m3_run-1_sbref	1
cmrr_2p5iso_mb3me3_TR1500_SBRef_e2	func	task-stop_acq-mp3m3_run-2_sbref	1
cmrr_2p5iso_mb3me3_TR1500_SBRef_e3	func	task-stop_acq-mp3m3_run-3_sbref	1
field_map_2p4iso_e1	fmap	acq-2p4_magnitude1	1
field_map_2p4iso_e2	fmap	acq-2p4_magnitude2	1
field_map_2p4iso_e2_ph	fmap	acq-2p4_phasediff	1
field_map_2p5iso_e1	fmap	acq-2p5_magnitude1	1
field_map_2p5iso_e2	fmap	acq-2p5_magnitude2	1
field_map_2p5iso_e2_ph	fmap	acq-2p5_phasediff	1
